"","logFC","logCPM","PValue","FDR"
"GABRG1|2565",3.54228941114258,-2.37174425791573,1.0178995004915e-196,2.31436845921877e-194
"VIT|5212",-3.88640832768338,1.62226881348155,6.79721674002101e-195,1.52614508855322e-192
"STMN2|11075",2.8380623686175,0.0513632041345743,2.43633832776975e-192,5.40265543745681e-190
"CDK5R2|8941",2.80734383312724,0.135347688617583,3.94466952966818e-191,8.64075049901217e-189
"REG3A|5068",2.67599148991396,6.34471649292068,1.12809896860867e-190,2.44131490049986e-188
"CCL25|6370",2.66267259200508,4.20302926097205,1.05874057319915e-187,2.26394025902418e-185
"COL2A1|1280",2.6757082128362,2.29946208829198,1.68086038703936e-187,3.55195462023541e-185
"ST18|9705",2.74727727325823,0.575210709211307,1.01728500471932e-185,2.12470619241494e-183
"PAX2|5076",2.82884898857028,-0.737324960738097,7.44150611727504e-185,1.53637164228154e-182
"GAGE4|2576",-3.73300199938688,1.2688054931865,2.03721943226042e-184,4.15824266389337e-182
"RPRML|388394",3.33194079880128,-1.9601477232228,2.4060257200496e-183,4.85584651500347e-181
"SOST|50964",-3.44886462572832,3.62843961606993,6.41485384086199e-180,1.28026227432848e-177
"HSD3B1|3283",2.98969477081008,-1.82407295729349,1.25234533470015e-176,2.47193702218506e-174
"DPEP3|64180",2.60079138241741,0.559703996925709,1.67458612525315e-176,3.26944738932577e-174
"ACSM2B|348158",3.52010995619616,-2.80862117166077,9.23235914120997e-175,1.78313585907971e-172
"VWA5B2|90113",2.60649757142363,1.66742910095749,9.77646546065685e-175,1.86813694259913e-172
"NEUROD2|4761",-3.40624426454873,1.38978111942985,3.71654643779474e-173,7.0270112753336e-171
"PRSS41|360226",3.06991225417362,-1.83765239451898,5.56589284445136e-171,1.04140174241703e-168
"CGA|1081",2.73611946555673,-0.872081966080857,1.1361824916727e-170,2.10392885726032e-168
"SVOP|55530",2.95128629315245,-1.62670736297654,2.5623504080958e-170,4.6964222479813e-168
"ALB|213",-3.31580652118016,5.41919203542178,7.48626734348581e-170,1.35826600023931e-167
"REN|5972",3.12003598609389,-2.09193539964255,1.6474747299072e-169,2.95919410985931e-167
"TSPY4|728395",2.64156726575786,-0.199981986857349,8.32901001546293e-169,1.48124433562124e-166
"BEX1|55859",2.58533795577516,0.833517261433076,9.28517860203486e-169,1.63510174558579e-166
"RGS7|6000",2.80781984300657,-1.03587827889695,4.90360163792392e-168,8.5513099631446e-166
"PRLHR|2834",3.72438730762447,-2.77353816354199,7.60764565309717e-168,1.31392818481665e-165
"SULT1C4|27233",2.56199642754562,1.1557717612478,2.29095047474592e-167,3.91905261213203e-165
"PAX7|5081",-3.34108169167532,1.46033368929882,4.5148224176469e-167,7.65049436469562e-165
"ABCA4|24",-3.28581631217429,3.41047821663348,3.23850031839415e-166,5.43644324476595e-164
"DCC|1630",-3.55682163953021,0.8997836283136,4.98701855804138e-166,8.25544461406101e-164
